Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,CHEMICAL TOTALS,"CHEMICAL TOTALS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,"8,023,000",18.1
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,CHEMICAL TOTALS,CHEMICAL TOTALS - OPERATIONS WITH EXPENSE,TOTAL,NOT SPECIFIED,207,26.6
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,PRODUCERS,PRODUCERS: (GENDER = FEMALE),44,41.9
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,182,27.4
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",PRODUCERS,PRODUCERS: (GENDER = FEMALE),"16,705,000",24.3
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"73,263,000",16.2
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN PCT OF FARM SALES",PRODUCERS,PRODUCERS: (GENDER = FEMALE),90,27.4
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,DEPRECIATION,"DEPRECIATION - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,"7,698,000",15.2
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,DEPRECIATION,DEPRECIATION - OPERATIONS WITH EXPENSE,TOTAL,NOT SPECIFIED,132,21.2
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",PRODUCERS,PRODUCERS: (GENDER = FEMALE),"17,961,000",11.1
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,"78,579,000",7.7
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",PRODUCERS,PRODUCERS: (GENDER = FEMALE),"149,672",39.4
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - EXPENSE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"253,481",26.8
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING - OPERATIONS WITH EXPENSE",TOTAL,NOT SPECIFIED,310,22
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING, PAID BY LANDLORD - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,"459,000",41.1
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,EXPENSE TOTALS,"EXPENSE TOTALS, OPERATING, PAID BY LANDLORD - OPERATIONS WITH EXPENSE",TOTAL,NOT SPECIFIED,13,37
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,FEED,"FEED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,"6,091,000",9.5
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,FEED,FEED - OPERATIONS WITH EXPENSE,TOTAL,NOT SPECIFIED,88,23
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,FERTILIZER TOTALS,"FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,"13,238,000",19.3
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,FERTILIZER TOTALS,"FERTILIZER TOTALS, INCL LIME & SOIL CONDITIONERS - OPERATIONS WITH EXPENSE",TOTAL,NOT SPECIFIED,198,24.4
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,FUELS,"FUELS, INCL LUBRICANTS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,"4,065,000",15.3
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,FUELS,"FUELS, INCL LUBRICANTS - OPERATIONS WITH EXPENSE",TOTAL,NOT SPECIFIED,281,21.9
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,INTEREST,"INTEREST - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,589,000",20.3
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,INTEREST,INTEREST - OPERATIONS WITH EXPENSE,TOTAL,NOT SPECIFIED,105,31.4
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,INTEREST,"INTEREST, NON-REAL ESTATE - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,"770,000",20.6
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,INTEREST,"INTEREST, NON-REAL ESTATE - OPERATIONS WITH EXPENSE",TOTAL,NOT SPECIFIED,77,42.9
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,INTEREST,"INTEREST, REAL ESTATE - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,"819,000",22.9
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,INTEREST,"INTEREST, REAL ESTATE - OPERATIONS WITH EXPENSE",TOTAL,NOT SPECIFIED,75,32.7
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, CONTRACT - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,"2,162,000",15
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, CONTRACT - OPERATIONS WITH EXPENSE",TOTAL,NOT SPECIFIED,43,25.5
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED - EXPENSE, MEASURED IN $",LABOR,LABOR: (HIRED WORKERS GE 150 DAYS & LT 150 DAYS),"3,181,000",8.2
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,"7,945,000",9.3
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED - NUMBER OF WORKERS",LABOR,LABOR: (1 HIRED WORKERS),24,51
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED - NUMBER OF WORKERS",LABOR,LABOR: (10 OR MORE HIRED WORKERS),215,21.7
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED - NUMBER OF WORKERS",LABOR,LABOR: (2 HIRED WORKERS),70,45.3
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED - NUMBER OF WORKERS",LABOR,LABOR: (3 TO 4 HIRED WORKERS),99,53.7
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED - NUMBER OF WORKERS",LABOR,LABOR: (5 TO 9 HIRED WORKERS),127,55.5
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED - NUMBER OF WORKERS",TOTAL,NOT SPECIFIED,535,20.4
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED - OPERATIONS WITH EXPENSE",TOTAL,NOT SPECIFIED,120,26.8
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED - OPERATIONS WITH WORKERS",LABOR,LABOR: (1 HIRED WORKERS),24,51
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED - OPERATIONS WITH WORKERS",LABOR,LABOR: (10 OR MORE HIRED WORKERS),14,33.6
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED - OPERATIONS WITH WORKERS",LABOR,LABOR: (2 HIRED WORKERS),35,45.3
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED - OPERATIONS WITH WORKERS",LABOR,LABOR: (3 TO 4 HIRED WORKERS),27,53.3
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED - OPERATIONS WITH WORKERS",LABOR,LABOR: (5 TO 9 HIRED WORKERS),20,59.4
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED - OPERATIONS WITH WORKERS",LABOR,LABOR: (HIRED WORKERS GE 150 DAYS & LT 150 DAYS),27,39.4
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED - OPERATIONS WITH WORKERS",TOTAL,NOT SPECIFIED,120,26.8
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED - WORKERS, MEASURED IN PCT OF FARM OPERATIONS",PRODUCERS,PRODUCERS: (GENDER = FEMALE),32,75.5
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED, GE 150 DAYS - EXPENSE, MEASURED IN $",LABOR,LABOR: (HIRED WORKERS GE 150 DAYS),"3,513,000",20.8
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED, GE 150 DAYS - NUMBER OF WORKERS",LABOR,LABOR: (1 HIRED WORKERS),22,47.7
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED, GE 150 DAYS - NUMBER OF WORKERS",LABOR,LABOR: (10 OR MORE HIRED WORKERS),80,12.2
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED, GE 150 DAYS - NUMBER OF WORKERS",LABOR,LABOR: (2 HIRED WORKERS),16,44.6
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED, GE 150 DAYS - NUMBER OF WORKERS",LABOR,LABOR: (3 TO 4 HIRED WORKERS),54,55
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED, GE 150 DAYS - NUMBER OF WORKERS",LABOR,LABOR: (5 TO 9 HIRED WORKERS),44,57.5
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED, GE 150 DAYS - NUMBER OF WORKERS",LABOR,LABOR: (HIRED WORKERS GE 150 DAYS & LT 150 DAYS),86,16.5
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED, GE 150 DAYS - NUMBER OF WORKERS",LABOR,LABOR: (HIRED WORKERS GE 150 DAYS),130,26.2
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED, GE 150 DAYS - NUMBER OF WORKERS",TOTAL,NOT SPECIFIED,216,15.7
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED, GE 150 DAYS - OPERATIONS WITH WORKERS",LABOR,LABOR: (1 HIRED WORKERS),22,47.7
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED, GE 150 DAYS - OPERATIONS WITH WORKERS",LABOR,LABOR: (10 OR MORE HIRED WORKERS),6,36.5
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED, GE 150 DAYS - OPERATIONS WITH WORKERS",LABOR,LABOR: (2 HIRED WORKERS),8,44.6
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED, GE 150 DAYS - OPERATIONS WITH WORKERS",LABOR,LABOR: (3 TO 4 HIRED WORKERS),15,54.6
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED, GE 150 DAYS - OPERATIONS WITH WORKERS",LABOR,LABOR: (5 TO 9 HIRED WORKERS),7,58.9
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED, GE 150 DAYS - OPERATIONS WITH WORKERS",LABOR,LABOR: (HIRED WORKERS GE 150 DAYS),31,35.8
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED, GE 150 DAYS - OPERATIONS WITH WORKERS",TOTAL,NOT SPECIFIED,58,28.3
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED, LT 150 DAYS - EXPENSE, MEASURED IN $",LABOR,LABOR: (HIRED WORKERS LT 150 DAYS),"1,251,000",38.8
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED, LT 150 DAYS - NUMBER OF WORKERS",LABOR,LABOR: (1 HIRED WORKERS),19,52.9
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED, LT 150 DAYS - NUMBER OF WORKERS",LABOR,LABOR: (10 OR MORE HIRED WORKERS),87,29.6
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED, LT 150 DAYS - NUMBER OF WORKERS",LABOR,LABOR: (2 HIRED WORKERS),66,52.9
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED, LT 150 DAYS - NUMBER OF WORKERS",LABOR,LABOR: (3 TO 4 HIRED WORKERS),62,65.8
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED, LT 150 DAYS - NUMBER OF WORKERS",LABOR,LABOR: (5 TO 9 HIRED WORKERS),85,73
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED, LT 150 DAYS - NUMBER OF WORKERS",LABOR,LABOR: (HIRED WORKERS GE 150 DAYS & LT 150 DAYS),144,29.7
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED, LT 150 DAYS - NUMBER OF WORKERS",LABOR,LABOR: (HIRED WORKERS LT 150 DAYS),175,42
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED, LT 150 DAYS - NUMBER OF WORKERS",TOTAL,NOT SPECIFIED,319,27.7
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED, LT 150 DAYS - OPERATIONS WITH WORKERS",LABOR,LABOR: (1 HIRED WORKERS),19,52.9
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED, LT 150 DAYS - OPERATIONS WITH WORKERS",LABOR,LABOR: (10 OR MORE HIRED WORKERS),5,42
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED, LT 150 DAYS - OPERATIONS WITH WORKERS",LABOR,LABOR: (2 HIRED WORKERS),33,52.9
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED, LT 150 DAYS - OPERATIONS WITH WORKERS",LABOR,LABOR: (3 TO 4 HIRED WORKERS),16,67.4
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED, LT 150 DAYS - OPERATIONS WITH WORKERS",LABOR,LABOR: (5 TO 9 HIRED WORKERS),16,75.6
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED, LT 150 DAYS - OPERATIONS WITH WORKERS",LABOR,LABOR: (HIRED WORKERS LT 150 DAYS),62,40.6
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, HIRED, LT 150 DAYS - OPERATIONS WITH WORKERS",TOTAL,NOT SPECIFIED,89,31.7
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, MIGRANT - NUMBER OF WORKERS",LABOR,LABOR: (INCL HIRED WORKERS), (D),(D)
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, MIGRANT - NUMBER OF WORKERS",LABOR,LABOR: (ONLY CONTRACT), (D),(D)
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, MIGRANT - NUMBER OF WORKERS",TOTAL,NOT SPECIFIED,156,41.5
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, MIGRANT - OPERATIONS WITH WORKERS",LABOR,LABOR: (INCL HIRED WORKERS),19,41.1
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, MIGRANT - OPERATIONS WITH WORKERS",LABOR,LABOR: (ONLY CONTRACT),2,(H)
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, MIGRANT - OPERATIONS WITH WORKERS",TOTAL,NOT SPECIFIED,21,44.2
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, UNPAID - NUMBER OF WORKERS",TOTAL,NOT SPECIFIED,225,33.3
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,LABOR,"LABOR, UNPAID - OPERATIONS WITH WORKERS",TOTAL,NOT SPECIFIED,121,30.3
CENSUS,2017,YEAR,,COUNTY,NORTH CAROLINA,37,CENTRAL COASTAL,80,BEAUFORT,13,,,0,,PACKING FACILITY,"PACKING FACILITY, CROPS, ON FARM - NUMBER OF OPERATIONS",TOTAL,NOT SPECIFIED,5,(H)
